paper_name,detection_folder,observation_datetimes,detection_time,detection_mjd,bary_mjd,detection_dm,detection_downsampling,detection_snr,filename,file_location,t_peak,iquv,xyphase,bandpass,lofar_obs,struct_opt_dm,struct_opt_dm_err,width_ms,snr,fluence_Jyms,fluence_err,flux_Jy,flux_err,ncomp,drift_rate,drift_rate_err,drift_trust,fluct_id_low,fluct_id_high,freq_id_low,freq_id_high,t0,t1,ds_freq,ds_time,delta_dm,smooth,phase_16.29_58369.9
A42,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42,10271.69,59095.0735380787,59095.07525644,348.7,,12.68,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t010271_sb35_tab00.fil,5,,,,,348.59494594437,0.340549466917744,0.25,11.65,3.07,0.61,9.69,0.97,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38992
A43,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42,10607.15,59095.0774207176,59095.07913932,350.8,,11.47,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t010607_sb35_tab00.fil,5,,,,,348.101295446422,0.227162037015798,2.54,11.53,2.48,0.5,2.98,0.3,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.39016
A44,2020-09-03-02:00:02.FRB180916.J0158+65,2020-09-03T02:00:02.0,1471.88,59095.1003921296,59095.10211216,349,5,12.56,,/tank/data/FRBs/R3/20200903/filterbank/2020-09-03-02:00:02.FRB180916.J0158+65/CB00_10.0sec_dm0_t01471_sb35_tab00.fil,5,/tank/data/FRBs/R3/20200903/iquv/2020-09-03-02:00:02.FRB180916.J0158+65/CB00/numpyarr/FRB180916.J0158+65_mjd59095.100317_dedisp348.80.npy,/tank/data/sky/3C286/20200901/iquv/polcal/xy_phase.npy,/tank/data/sky/3C286/20200901/iquv/polcal/bandpass.npy,,349.059726239073,0.227371732173472,0.33,16.57,4.21,0.84,7.24,0.72,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.39157
A45,2020-09-03-02:00:02.FRB180916.J0158+65,2020-09-03T02:00:02.0,2403.8,59095.1111782407,59095.11289895,351.2,10,13.24,,/tank/data/FRBs/R3/20200903/filterbank/2020-09-03-02:00:02.FRB180916.J0158+65/CB00_10.0sec_dm0_t02403_sb35_tab00.fil,5,,,,,348.50035235792,0.281701765877465,0.41,14.96,3.51,0.7,5.85,0.58,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.39223
A46,2020-09-03-02:00:02.FRB180916.J0158+65,2020-09-03T02:00:02.0,3008.38,59095.1181756944,59095.11989684,348.8,5,20.68,,/tank/data/FRBs/R3/20200903/filterbank/2020-09-03-02:00:02.FRB180916.J0158+65/CB00_10.0sec_dm0_t03008_sb35_tab00.fil,5,,,,,348.779764108602,0.143476071110485,0.33,23.67,7.08,1.42,10.35,1.03,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.39265
A47,2020-09-03-02:00:02.FRB180916.J0158+65,2020-09-03T02:00:02.0,3335.61,59095.1219630787,59095.12368446,349.89,5,32.38,,/tank/data/FRBs/R3/20200903/filterbank/2020-09-03-02:00:02.FRB180916.J0158+65/CB00_10.0sec_dm0_t03335_sb35_tab00.fil,5,,,,,348.933478784433,0.227379362284128,0.33,46.05,11.19,2.24,20.13,2.01,2,-19.006,,TRUE,10,150,0,1536,400,1221,8,1,0,0,0.39289
A48,2020-09-03-02:00:02.FRB180916.J0158+65,2020-09-03T02:00:02.0,4810.02,59095.1390280093,59095.14075045,349.2,25,10,,/tank/data/FRBs/R3/20200903/filterbank/2020-09-03-02:00:02.FRB180916.J0158+65/CB00_10.0sec_dm0_t04810_sb35_tab00.fil,5,,,,,349.141394623013,0.509948098266308,2.79,9.05,5.5,1.1,2.24,0.22,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.39393
A49,2020-09-03-02:00:02.FRB180916.J0158+65,2020-09-03T02:00:02,6677.56,59095.1606430556,59095.16236684,356.5,,10.66,,/tank/data/FRBs/R3/20200903/filterbank/2020-09-03-02:00:02.FRB180916.J0158+65/CB00_10.0sec_dm0_t06677_sb35_tab00.fil,5,,,,,349.289355892342,0.261477276576038,15.97,20.61,9.32,1.86,2.13,0.21,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.39525
A50,2020-09-03-02:00:02.FRB180916.J0158+65,2020-09-03T02:00:02,9091.15,59095.188578125,59095.19030365,353.8,,9.4,,/tank/data/FRBs/R3/20200903/filterbank/2020-09-03-02:00:02.FRB180916.J0158+65/CB00_10.0sec_dm0_t09091_sb35_tab00.fil,5,,,,,349.683799679202,0.519117977185033,4.51,10.96,5.46,1.09,2.13,0.21,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.39696
A51,2020-09-04-03:03:34.FRB180916.J0158+65,2020-09-04T03:03:34.0,6837.96,59096.2066199074,59096.20840871,351.34,25,9.3,,/tank/data/FRBs/R3/20200904/filterbank/2020-09-04-03:03:34.FRB180916.J0158+65/CB00_10.0sec_dm0_t06837_sb-1_tab00.fil,5,,,,,348.432073713284,0.541969469635768,1.97,9.3,2.94,0.59,1.66,0.17,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.45923
A52,2020-10-21-17:30:06.FRB180916.J0158+65,2020-10-21T17:30:06,7295.35,59143.81367303,59143.81778929,350.2,,11.32,,/tank/data/FRBs/R3/20201021/2020-10-21-17:30:06.FRB180916.J0158+65/snippets/CB00_10.0sec_dm0_t07295_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20201021/2020-10-21-17:30:06.FRB180916.J0158+65/iquv/numpyarr/R3_mjd59143.813657_dedisp348.80.npy,/tank/data/FRBs/R3/20201021/2020-10-21-17:30:06.FRB180916.J0158+65/iquv/polcal/xy_phase_3C286.npy,/tank/data/FRBs/R3/20201021/2020-10-21-17:30:06.FRB180916.J0158+65/iquv/polcal/bandpass_3C286.npy,,348.889438017558,0.190723955522349,3.36,12.07,4.7,0.94,2.72,0.54,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.37112
